type,name,label,label::Arabic,hint,hint::Arabic,appearance,required,calculation,constraint,constraint_message,constraint_message::Arabic,relevant,default,repeat_count,choice_filter,
select_one q052103R,Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household,5.21.2 How many households share this toilet (including the surveyed household)? ,5.21.2 ?? ??? ????? ???? ????? ?? ??? ??????? (??? ?? ??? ?????? ???? ????? ?????????)?,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_21_Do_your_household_members_have_access_to_a_functioning_toilet},'Yes_but_only_some_members') or selected(${Q5_21_Do_your_household_members_have_access_to_a_functioning_toilet},'Yes_all_members')",,,,
integer,Q5_21_3_How_many_people_share_this_toilet_including_the_surveyed_household,5.21.3 How many people share this toilet (including the surveyed household)?,5.21.3 ?? ??? ???????? ??? ??????? (??? ?? ??? ?????? ???? ????? ?????????)?,(Numbers),(????????),numbers,yes,,.>0,,,"selected(${Q5_21_Do_your_household_members_have_access_to_a_functioning_toilet},'Yes_but_only_some_members') or selected(${Q5_21_Do_your_household_members_have_access_to_a_functioning_toilet},'Yes_all_members')",,,,
select_multiple q0522R,Q5_22_Did_any_of_the_following_problems_related_to_the_toilet_occur_in_the_last_30_days,5.22 Did any of the following problems related to the toilet occur in the last 30 days?,5.22 ?? ???? ?? ?? ??????? ??????? ???????? ???????? ???? ??? 30 ????? ????????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,"not(selected(.,'No_problems') and count-selected(.)>1)","You can not select  "" No problems "" with another option","?????? ?????? ""?? ???? ????? "" ?? ???? ???? ",,,,,
text,Q5_22_Other,5.22 Other (specify),5.22 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_22_Did_any_of_the_following_problems_related_to_the_toilet_occur_in_the_last_30_days},'Other')",,,,
select_one q0502R,Q5_23_How_far_is_the_nearest_toilet_from_the_household,5.23 How far is the nearest toilet from the household?,5.23 ?? ???? ???? ????? ?? ???????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_22_Did_any_of_the_following_problems_related_to_the_toilet_occur_in_the_last_30_days},'Lack_of_privacy_no_separation_between_men_and_women') and ( selected(${Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household},'Shared_family_2_To_3_households') or selected(${Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household},'Communal_toilet_4_households_or_more') or selected(${Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household},'Public_toilet_located_in_market_clinic_etc_accessible_to_the_public'))",,,,
select_one q0502R,Q5_24_1_How_far_is_the_nearest_toilet_for_women_from_the_household,5.24.1 How far is the nearest toilet for women from the household?,5.24.1 ?? ???? ???? ????? ?????? ?? ???????,(Select one),(???? ?????),,yes,,,,,"not(selected(${Q5_22_Did_any_of_the_following_problems_related_to_the_toilet_occur_in_the_last_30_days},'Lack_of_privacy_no_separation_between_men_and_women')) and ( selected(${Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household},'Shared_family_2_To_3_households') or selected(${Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household},'Communal_toilet_4_households_or_more') or selected(${Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household},'Public_toilet_located_in_market_clinic_etc_accessible_to_the_public'))",,,,
select_one q0502R,Q5_24_2_How_far_is_the_nearest_toilet_for_men_from_the_household,5.24.2 How far is the nearest toilet for men from the household?,5.24.2 ?? ???? ???? ????? ?????? ?? ???????,(Select one),(???? ?????),,yes,,,,,"not(selected(${Q5_22_Did_any_of_the_following_problems_related_to_the_toilet_occur_in_the_last_30_days},'Lack_of_privacy_no_separation_between_men_and_women')) and ( selected(${Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household},'Shared_family_2_To_3_households') or selected(${Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household},'Communal_toilet_4_households_or_more') or selected(${Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household},'Public_toilet_located_in_market_clinic_etc_accessible_to_the_public'))",,,,
select_one q0525R,Q5_25_Where_do_children_under_5_who_are_living_in_this_household_usually_go_to_defecate,5.25 Where do children under 5 who are living in this household usually go to defecate?,5.25 ??? ???? ??????? ??? ?? ??????? ????? ?????? ?? ??? ?????? ???? ??? ???????,(Select one),(???? ?????),,yes,,,,,(${Q1_4_Males_0_To_3_years}>=1) or (${Q1_4_Females_0_To_3_years}>=1) or (${Q1_4_Males_4_To_5_years}>=1) or (${Q1_4_Females_4_To_5_years}>=1),,,,
text,Q5_25_Other,5.25 Other (specify),5.25 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_25_Where_do_children_under_5_who_are_living_in_this_household_usually_go_to_defecate},'Other')",,,,
select_one q052501R,Q5_25_1_If_there_are_children_under_5_that_dont_use_sanitation_facilities_latrines_toilets_what_is_usually_done_with_their_faeces,"5.25.1 If there are children under 5 that don’t use sanitation facilities (latrines/toilets), what is usually done with their faeces?","5.25.1 ??? ??? ???? ????? ??????? ??? ?? 5 ????? ??????????? ????? ????? ????? (????????/ ????????)? ??? ???? ???? ???? ?? ???????",(Select one),(???? ?????),,yes,,,,,"selected(${Q5_25_Where_do_children_under_5_who_are_living_in_this_household_usually_go_to_defecate},'Diapers') or selected(${Q5_25_Where_do_children_under_5_who_are_living_in_this_household_usually_go_to_defecate},'Plastic_bag') or selected(${Q5_25_Where_do_children_under_5_who_are_living_in_this_household_usually_go_to_defecate},'Bucket_toilet') or selected(${Q5_25_Where_do_children_under_5_who_are_living_in_this_household_usually_go_to_defecate},'Open_defecation') or selected(${Q5_25_Where_do_children_under_5_who_are_living_in_this_household_usually_go_to_defecate},'Other')",,,,
text,Q5_25_1_Other,5.25.1 Other (specify),5.25.1 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_25_1_If_there_are_children_under_5_that_dont_use_sanitation_facilities_latrines_toilets_what_is_usually_done_with_their_faeces},'Other')",,,,
select_one q0526R,Q5_26_What_is_the_method_of_disposing_wastewater_from_your_HH_toilet,5.26 What is the method of disposing wastewater from your HH toilet? ,5.26 ???? ????? ?????? ?? ???? ????? ????? ?? ????? ??????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household},'Not_shared_1_household') or (${Q5_21_3_How_many_people_share_this_toilet_including_the_surveyed_household}>0)",,,,
text,Q5_26_Other,5.26 Other (specify),5.26 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_26_What_is_the_method_of_disposing_wastewater_from_your_HH_toilet},'Other')",,,,
integer,Q5_26_1_What_percentage_of_income_is_used_on_desludging_of_septic_tank,5.26.1 What percentage of income is used on desludging of septic tank?,5.26.1 ?? ?? ?????? ??????? ?? ????? ???? ?????? ?? ????? ???? ??????? ?? ???? ????? ??????,(Numbers),(????????),numbers,yes,,.>0 and .<=100,0-100,0-100,"selected(${Q5_26_What_is_the_method_of_disposing_wastewater_from_your_HH_toilet},'Connection_to_HH_septic_tank')",,,,
integer,Q5_26_2_How_much_your_HH_spent_in_the_past_3_months_on_septic_tank_desludging_in_SYP,5.26.2 How much your HH spent in the past 3 months on septic tank desludging? (in SYP),5.26.2 ?? ???? ????? ???? ??? 3 ???? ??????? ??? ????? ???? ??????? ?? ???? ????? ?????? (???? ?????),(Numbers),(????????),numbers,yes,,,,,"selected(${Q5_26_What_is_the_method_of_disposing_wastewater_from_your_HH_toilet},'Connection_to_HH_septic_tank')",,,,
select_one yes_no_i_cnda,Q5_26_3_Would_you_would_be_willing_to_pay_for_desludging_of_the_household_septic_tank,5.26.3 Would you would be willing to pay for desludging of the household septic tank?,5.26.3 ?? ??? ???? ???? ?????? ????? ???? ??????? ?? ???? ????? ??????,(Select one),(???? ?????),,yes,,,,,(${Q5_26_1_What_percentage_of_income_is_used_on_desludging_of_septic_tank}=0) and (${Q5_26_2_How_much_your_HH_spent_in_the_past_3_months_on_septic_tank_desludging_in_SYP}=0),,,,
integer,Q5_26_3_1_What_is_the_maximum_amount_SYP_you_would_be_willing_to_pay_per_month_for_desludging_of_the_household_septic_tank,5.26.3.1 What is the maximum amount (SYP) you would be willing to pay per month for desludging of the household septic tank?,5.26.3.1 ???? ???? ?????? ?????? (???? ?????) ???? ???? ????? ?????? ???? ????? ???? ??????? ?? ???? ????? ????? ?? ???????,(Numbers),(????????),numbers,yes,,,,,"selected(${Q5_26_3_Would_you_would_be_willing_to_pay_for_desludging_of_the_household_septic_tank},'Yes')",,,,
select_multiple q0527R,Q5_27_Did_you_face_any_challenges_related_to_wastewater_disposal_or_toilet_functionality_in_the_last_30_days,5.27 Did you face any challenges related to wastewater disposal or toilet functionality in the last 30 days? ,5.27 ?? ????? ?? ?????? ?????? ??????? ?? ???? ????? ????? ?? ?????? ??????? ???? ??? 30 ????? ????????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,"not(selected(.,'No_problem_reported') and count-selected(.)>1)","You can not select  "" No problems reported "" with another option","?????? ?????? ""?? ???? ????? ??? ???? "" ?? ???? ???? ",,,,,
text,Q5_27_Other,5.27 Other (specify),5.27 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_27_Did_you_face_any_challenges_related_to_wastewater_disposal_or_toilet_functionality_in_the_last_30_days},'Other')",,,,
select_one q0521R,Q5_28_Do_your_household_members_have_access_to_a_functioning_bathing_facility,5.28 Do your household members have access to a functioning bathing facility?,5.28 ?? ??? ????? ????? ?????? ??? ????? ????????? ????????,(Select one),(???? ?????),,yes,,,,,,,,,
select_multiple q0504R,Q5_28_1_Which_household_members_did_not_have_access_to_a_functioning_bathing_facility,5.28.1 Which household members did not have access to a functioning bathing facility?,5.28.1 ?? ?? ????? ?????? ?? ????? ?? ?????? ??? ????? ????????? ????????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,,,,"selected(${Q5_28_Do_your_household_members_have_access_to_a_functioning_bathing_facility},'Yes_but_only_some_members')",,,,
select_one yes_no_dt,Q5_28_2_Does_the_HH_member_s_you_identified_with_physical_cognitive_difficulties_have_safe_access_to_a_functioning_bathing_facility,5.28.2 Does the HH member(s) you identified with physical/cognitive difficulties have safe access to a functioning bathing facility?,5.28.2 ?? ??? ????? ?????? ??? ???????? ???????/ ???????? ????? ????? ???? ??? ?????? ????????? ????????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_28_Do_your_household_members_have_access_to_a_functioning_bathing_facility},'Yes_but_only_some_members') and not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
select_one yes_no_ns,Q5_29_Do_you_have_access_to_a_handwashing_station_in_the_camp_site,5.29 Do you have access to a handwashing station in the camp/site?,5.29 ?? ???? ?????? ??? ????? ??? ?????? ?? ??????/ ???????,(Select one),(???? ?????),,yes,,,,,,,,,
select_one q0530R,Q5_30_Is_there_water_and_soap_available_in_the_household_for_handwashing,5.30 Is there water and soap available in the household for handwashing?,5.30 ?? ????? ????? ???????? ?? ?????? ???? ???????,(Select one),(???? ?????),,yes,,,,,,,,,
select_one yes_no_ns,Q5_31_Do_you_have_access_to_a_laundry_station_in_the_camp_site,5.31 Do you have access to a laundry station in the camp/site?,5.31 ?? ???? ???? ??? ????? ???? ??????? ?? ??????/ ???????,(Select one),(???? ?????),,yes,,,,,,,,,
end group,G5_WASH,,,,,,,,,,,,,,,
begin group,G6_Health,6. Health,6. ??????? ??????,,,,,,,,,"selected(${Q1_2_Are_you_willing_to_respond_to_this_household_visit},'Yes')",,,,
select_one yes_no_ns,Q6_1_Have_any_individuals_in_he_household_had_diarrhea_in_the_past_30_days,6.1 Have any individuals in he household had diarrhea in the past 30 days?,6.1 ?? ???? ?? ?? ????? ?????? ???????? ???? ??? 30 ????? ????????,(Select one),(???? ?????),,yes,,,,,,,,,
begin group,GQ6_1_1,,,,,field-list,,,,,,"selected(${Q6_1_Have_any_individuals_in_he_household_had_diarrhea_in_the_past_30_days},'Yes')",,,,
note,NQ6_1_1_How_many_individuals_in_the_following_categories_have_had_diarrhea_in_the_past_30_days,6.1.1 How many individuals in the following categories have had diarrhea in the past 30 days?,6.1.1 ?? ??? ??????? ?? ?????? ??????? ?????? ???????? ???? ??? 30 ????? ????????,(Numbers),(????????),,,,,,,,,,,
integer,Q6_1_1_Males_0_To_3_years,Males 0-3:,???? 0-3:,,,numbers,yes,,.<=${Q1_4_Males_0_To_3_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_0_To_3_years}>0,0,,,
integer,Q6_1_1_Females_0_To_3_years,Females 0-3:,???? 0-3:,,,numbers,yes,,.<=${Q1_4_Females_0_To_3_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_0_To_3_years}>0,0,,,
integer,Q6_1_1_Males_4_To_5_years,Males 4-5:,???? 4-5:,,,numbers,yes,,.<=${Q1_4_Males_4_To_5_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_4_To_5_years}>0,0,,,
integer,Q6_1_1_Females_4_To_5_years,Females 4-5:,???? 4-5:,,,numbers,yes,,.<=${Q1_4_Females_4_To_5_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_4_To_5_years}>0,0,,,
integer,Q6_1_1_Males_6_To_10_years,Males 6-10:,???? 6-10:,,,numbers,yes,,.<=${Q1_4_Males_6_To_10_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_6_To_10_years}>0,0,,,
integer,Q6_1_1_Females_6_To_10_years,Females 6-10:,???? 6-10:,,,numbers,yes,,.<=${Q1_4_Females_6_To_10_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_6_To_10_years}>0,0,,,
integer,Q6_1_1_Males_11_To_17_years,Males 11-17:,???? 11-17:,,,numbers,yes,,.<=${Q1_4_Males_11_To_17_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_11_To_17_years}>0,0,,,
integer,Q6_1_1_Females_11_To_17_years,Females 11-17:,???? 11-17:,,,numbers,yes,,.<=${Q1_4_Females_11_To_17_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_11_To_17_years}>0,0,,,
integer,Q6_1_1_Males_18_To_59_years,Males 18-59:,???? 18-59:,,,numbers,yes,,.<=${Q1_4_Males_18_To_59_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_18_To_59_years}>0,0,,,
integer,Q6_1_1_Females_18_To_59_years,Females 18-59:,???? 18-59:,,,numbers,yes,,.<=${Q1_4_Females_18_To_59_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_18_To_59_years}>0,0,,,
integer,Q6_1_1_Males_60_plus,Males 60+:,???? 60+:,,,numbers,yes,,.<=${Q1_4_Males_60_plus},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_60_plus}>0,0,,,
integer,Q6_1_1_Females_60_plus,Females 60+:,???? 60+:,,,numbers,yes,,.<=${Q1_4_Females_60_plus},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_60_plus}>0,0,,,
end group,GQ6_1_1,,,,,,,,,,,,,,,
calculate,calc6_1_1,clac1.6.3,,,,,,${Q6_1_1_Males_0_To_3_years} + ${Q6_1_1_Females_0_To_3_years} + ${Q6_1_1_Males_4_To_5_years} + ${Q6_1_1_Females_4_To_5_years} + ${Q6_1_1_Males_6_To_10_years} + ${Q6_1_1_Females_6_To_10_years} + ${Q6_1_1_Males_11_To_17_years} + ${Q6_1_1_Females_11_To_17_years} + ${Q6_1_1_Males_18_To_59_years} + ${Q6_1_1_Females_18_To_59_years} + ${Q6_1_1_Males_60_plus} + ${Q6_1_1_Females_60_plus},,,,"not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
note,Check6_1_111,The total members in question 6.1.1 should be more than 0,????? ??????? ?? ?????? 6.1.1 ??? ?? ???? ???? ?? 0,,,,yes,,,,,"(${calc6_1_1}<=0) and selected(${Q6_1_Have_any_individuals_in_he_household_had_diarrhea_in_the_past_30_days},'Yes')",,,,
note,Check6_1_1,The total members in question 6.1.1 should be less than or equal 1.3,????? ??????? ?? ?????? 6.1.1 ??? ?? ???? ??? ?? ?? ????? 1.3,,,,yes,,,,,"(${calc6_1_1}>${Q1_3_How_many_individuals_live_in_this_household_including_yourself}) and selected(${Q6_1_Have_any_individuals_in_he_household_had_diarrhea_in_the_past_30_days},'Yes')",,,,
integer,Q6_1_2_How_many_of_the_HH_members_you_identified_with_physical_cognitive_difficulties_have_had_diarrhea_in_the_past_30_days,6.1.2 How many of the HH members you identified with physical/cognitive difficulties have had diarrhea in the past 30 days?,6.1.2 ?? ??? ????? ?????? ??? ???????? ???????/ ???????? ????? ?????? ???????? ???? ??? 30????? ????????,(Numbers),(????????),numbers,yes,,,,,"selected(${Q6_1_Have_any_individuals_in_he_household_had_diarrhea_in_the_past_30_days},'Yes') and not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
select_one yes_no_ns,Q6_2_Have_any_individuals_in_the_household_had_Leishmaniosis_Aleppo_Boil_in_the_past_30_days,6.2 Have any individuals in the household had Leishmaniosis (Aleppo Boil) in the past 30 days?,6.2 ?? ???? ?? ?? ????? ?????? ??????????? (??? ???) ???? ??? 30 ????? ????????,(Select one),(???? ?????),,yes,,,,,,,,,
begin group,GQ6_2_1,,,,,field-list,,,,,,"selected(${Q6_2_Have_any_individuals_in_the_household_had_Leishmaniosis_Aleppo_Boil_in_the_past_30_days},'Yes')",,,,
note,NQ6_2_1_How_many_individuals_in_the_following_categories_had_Leishmaniosis_Aleppo_Boil_in_the_past_30_days,6.2.1 How many individuals in the following categories had Leishmaniosis (Aleppo Boil) in the past 30 days?,6.2.1 ?? ??? ??????? ?? ?????? ??????? ????? ?????? ??????????? (??? ???) ???? ??? 30 ????? ????????,(Numbers),(????????),,,,,,,,,,,
integer,Q6_2_1_Males_0_To_3_years,Males 0-3:,???? 0-3:,,,numbers,yes,,.<=${Q1_4_Males_0_To_3_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_0_To_3_years}>0,0,,,
integer,Q6_2_1_Females_0_To_3_years,Females 0-3:,???? 0-3:,,,numbers,yes,,.<=${Q1_4_Females_0_To_3_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_0_To_3_years}>0,0,,,
integer,Q6_2_1_Males_4_To_5_years,Males 4-5:,???? 4-5:,,,numbers,yes,,.<=${Q1_4_Males_4_To_5_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_4_To_5_years}>0,0,,,
integer,Q6_2_1_Females_4_To_5_years,Females 4-5:,???? 4-5:,,,numbers,yes,,.<=${Q1_4_Females_4_To_5_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_4_To_5_years}>0,0,,,
integer,Q6_2_1_Males_6_To_10_years,Males 6-10:,???? 6-10:,,,numbers,yes,,.<=${Q1_4_Males_6_To_10_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_6_To_10_years}>0,0,,,
integer,Q6_2_1_Females_6_To_10_years,Females 6-10:,???? 6-10:,,,numbers,yes,,.<=${Q1_4_Females_6_To_10_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_6_To_10_years}>0,0,,,
integer,Q6_2_1_Males_11_To_17_years,Males 11-17:,???? 11-17:,,,numbers,yes,,.<=${Q1_4_Males_11_To_17_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_11_To_17_years}>0,0,,,
integer,Q6_2_1_Females_11_To_17_years,Females 11-17:,???? 11-17:,,,numbers,yes,,.<=${Q1_4_Females_11_To_17_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_11_To_17_years}>0,0,,,
integer,Q6_2_1_Males_18_To_59_years,Males 18-59:,???? 18-59:,,,numbers,yes,,.<=${Q1_4_Males_18_To_59_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_18_To_59_years}>0,0,,,
integer,Q6_2_1_Females_18_To_59_years,Females 18-59:,???? 18-59:,,,numbers,yes,,.<=${Q1_4_Females_18_To_59_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_18_To_59_years}>0,0,,,
integer,Q6_2_1_Males_60_plus,Males 60+:,???? 60+:,,,numbers,yes,,.<=${Q1_4_Males_60_plus},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_60_plus}>0,0,,,
integer,Q6_2_1_Females_60_plus,Females 60+:,???? 60+:,,,numbers,yes,,.<=${Q1_4_Females_60_plus},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_60_plus}>0,0,,,
end group,GQ6_2_1,,,,,,,,,,,,,,,
calculate,calc6_2_1,clac1.6.3,,,,,,${Q6_2_1_Males_0_To_3_years} + ${Q6_2_1_Females_0_To_3_years} + ${Q6_2_1_Males_4_To_5_years} + ${Q6_2_1_Females_4_To_5_years} + ${Q6_2_1_Males_6_To_10_years} + ${Q6_2_1_Females_6_To_10_years} + ${Q6_2_1_Males_11_To_17_years} + ${Q6_2_1_Females_11_To_17_years} + ${Q6_2_1_Males_18_To_59_years} + ${Q6_2_1_Females_18_To_59_years} + ${Q6_2_1_Males_60_plus} + ${Q6_2_1_Females_60_plus},,,,,,,,
note,Check6_2_111,The total members in question 6.2.1 should be more than 0,????? ??????? ?? ?????? 6.1.1 ??? ?? ???? ???? ?? 0,,,,yes,,,,,"(${calc6_2_1}<=0) and selected(${Q6_1_Have_any_individuals_in_he_household_had_diarrhea_in_the_past_30_days},'Yes')",,,,
note,Check6_2_1,The total members in question 6.2.1 should be less than or equal 1.3,????? ??????? ?? ?????? 6.2.1 ??? ?? ???? ??? ?? ?? ????? 1.3,,,,yes,,,,,(${calc6_2_1}>${Q1_3_How_many_individuals_live_in_this_household_including_yourself}),,,,
integer,Q6_2_2_How_many_of_the_HH_members_you_identified_with_physical_cognitive_difficulties_had_Leishmaniosis_Aleppo_Boil_in_the_past_30_days,6.2.2 How many of the HH members you identified with physical/cognitive difficulties had Leishmaniosis (Aleppo Boil) in the past 30 days?,6.2.2 ?? ??? ????? ?????? ??? ???????? ???????/ ???????? ????? ?????? ??????????? (??? ???) ???? ??? 30 ????? ????????,(Numbers),(????????),numbers,yes,,.<=${calc1_6_1},,,"selected(${Q6_1_Have_any_individuals_in_he_household_had_diarrhea_in_the_past_30_days},'Yes') and not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
select_one yes_no_ns,Q6_3_Have_any_individuals_in_the_household_had_respiratory_illness_in_the_past_30_days,6.3 Have any individuals in the household had respiratory illness in the past 30 days?,6.3 ?? ???? ?? ?? ?????? ?????? ?????? ??????? ???? ??? 30 ????? ????????,(Select one),(???? ?????),,yes,,,,,,,,,
begin group,GQ6_3_1,,,,,field-list,,,,,,"selected(${Q6_3_Have_any_individuals_in_the_household_had_respiratory_illness_in_the_past_30_days},'Yes')",,,,
note,NQ6_3_1_How_many_individuals_in_the_following_categories_had_respiratory_illness_in_the_past_30_days,6.3.1 How many individuals in the following categories had respiratory illness in the past 30 days?,6.3.1 ?? ??? ??????? ?? ?????? ??????? ????? ?????? ?????? ?????? ??????? ???? ??? 30 ????? ????????,(Numbers),(????????),,,,,,,,,,,
integer,Q6_3_1_Males_0_To_3_years,Males 0-3:,???? 0-3:,,,numbers,yes,,.<=${Q1_4_Males_0_To_3_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_0_To_3_years}>0,0,,,
integer,Q6_3_1_Females_0_To_3_years,Females 0-3:,???? 0-3:,,,numbers,yes,,.<=${Q1_4_Females_0_To_3_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_0_To_3_years}>0,0,,,
integer,Q6_3_1_Males_4_To_5_years,Males 4-5:,???? 4-5:,,,numbers,yes,,.<=${Q1_4_Males_4_To_5_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_4_To_5_years}>0,0,,,
integer,Q6_3_1_Females_4_To_5_years,Females 4-5:,???? 4-5:,,,numbers,yes,,.<=${Q1_4_Females_4_To_5_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_4_To_5_years}>0,0,,,
integer,Q6_3_1_Males_6_To_10_years,Males 6-10:,???? 6-10:,,,numbers,yes,,.<=${Q1_4_Males_6_To_10_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_6_To_10_years}>0,0,,,
integer,Q6_3_1_Females_6_To_10_years,Females 6-10:,???? 6-10:,,,numbers,yes,,.<=${Q1_4_Females_6_To_10_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_6_To_10_years}>0,0,,,
integer,Q6_3_1_Males_11_To_17_years,Males 11-17:,???? 11-17:,,,numbers,yes,,.<=${Q1_4_Males_11_To_17_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_11_To_17_years}>0,0,,,
integer,Q6_3_1_Females_11_To_17_years,Females 11-17:,???? 11-17:,,,numbers,yes,,.<=${Q1_4_Females_11_To_17_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_11_To_17_years}>0,0,,,
integer,Q6_3_1_Males_18_To_59_years,Males 18-59:,???? 18-59:,,,numbers,yes,,.<=${Q1_4_Males_18_To_59_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_18_To_59_years}>0,0,,,
integer,Q6_3_1_Females_18_To_59_years,Females 18-59:,???? 18-59:,,,numbers,yes,,.<=${Q1_4_Females_18_To_59_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_18_To_59_years}>0,0,,,
